,Date,Time,Headline,Cleaned_Headline
0,02/03/2024,09:31:00,Microsoft hasn’t been worth this much more than Apple since 2003,Microsoft hasn't been worth this much more than Apple since 2003
1,02/03/2024,12:54:07,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should
2,05/03/2024,09:31:00,米Belkin、Apple TVのFaceTimeアプリでiPhoneをWebカメラにする連係カメラ機能用のマウント「iPhone Mount with MagSafe for Apple TV 4K」を発表。,"Mi Belkin, Apple TVnoFaceTimeapurideiPhonewoWebkameranisuruLian Xi kameraJi Neng Yong nomaunto[iPhone Mount with MagSafe for Apple TV 4K] woFa Biao ."
3,05/03/2024,09:31:00,Apple AI and why investors should expect revenue growth,Apple AI and why investors should expect revenue growth
4,05/03/2024,10:48:00,"Chinese smartphone sales fall, customers unimpressed by Apple’s new iPhone model","Chinese smartphone sales fall, customers unimpressed by Apple's new iPhone model"
5,06/03/2024,09:31:00,Apple’s stock is in a ‘funk.’ Could Warren Buffett be selling more shares?,Apple's stock is in a 'funk.' Could Warren Buffett be selling more shares?
6,06/03/2024,09:31:00,"Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally","Apple stock falls to lowest level this year, while other tech companies see AI-fuelled rally"
7,08/03/2024,09:31:00,Apple、複数の脆弱性を修正した「macOS 12.7.4 Monterey」、「macOS 13.6.5 Ventura」および「Safari 17.4」をリリース。,"Apple, Fu Shu noCui Ruo Xing woXiu Zheng shita[macOS 12.7.4 Monterey] , [macOS 13.6.5 Ventura] oyobi[Safari 17.4] woriri-su."
8,08/03/2024,09:31:00,Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL),Apple: Reasons For Selloff & How It May Present An Opportunity (Rating Downgrade) (AAPL)
9,09/03/2024,09:31:00,"Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower","Stocks Fade After Jobs Report; Salesforce, Apple Leads Dow Jones; Nvidia Reverses Sharply Lower"
10,10/03/2024,14:53:59,Apple MacBook Air 2024 review: The best keeps getting better,Apple MacBook Air 2024 review: The best keeps getting better
11,11/03/2024,09:31:00,Apple、DEATH STRANDING DIRECTOR’S CUTやBIOHAZARD RE:4/VILLAGE、Strayなどのゲームタイトルが特別価格で販売するキャンペーンをMac App Storeで開催。,"Apple, DEATH STRANDING DIRECTOR'S CUTyaBIOHAZARD RE:4/VILLAGE, Straynadonoge-mutaitorugaTe Bie Jia Ge deFan Mai surukiyanpe-nwoMac App StoredeKai Cui ."
12,13/03/2024,09:31:00,"Apple’s iPhone business has been sluggish, but here’s the good news","Apple's iPhone business has been sluggish, but here's the good news"
13,13/03/2024,11:00:25,"Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?","Down 10% This Year, Will Gen AI Tools Help Apple Stock Recover?"
14,13/03/2024,15:02:45,How To Earn $500 A Month From Apple Stock,How To Earn $500 A Month From Apple Stock
15,14/03/2024,09:31:00,Apple Enters Oversold Territory,Apple Enters Oversold Territory
16,16/03/2024,09:31:00,Misleading talk about iPhone demand in China costs Apple $490 million,Misleading talk about iPhone demand in China costs Apple $490 million
17,18/03/2024,14:16:24,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?,Is Apple (AAPL) Facing Increasing Risk of Chinese Bans?
18,22/03/2024,13:24:14,"Analysts mostly non-plussed by DoJ suit, and believe Apple will win","Analysts mostly non-plussed by DoJ suit, and believe Apple will win"
19,22/03/2024,15:55:10,Apple's Days of Smartphone Monopoly Are Coming To An End,Apple's Days of Smartphone Monopoly Are Coming To An End
20,23/03/2024,09:31:00,"Jim Cramer throws cold water on DOJ’s lawsuit against Apple, calls it a ‘buying opportunity’","Jim Cramer throws cold water on DOJ's lawsuit against Apple, calls it a 'buying opportunity'"
21,24/03/2024,09:31:00,Jason Cases、AppleのVision Proと周辺機器を安全に運べる「Apple Vision Pro Case」を発売。,"Jason Cases, ApplenoVision ProtoZhou Bian Ji Qi woAn Quan niYun beru[Apple Vision Pro Case] woFa Mai ."
22,26/03/2024,09:31:00,Apple、macOS 12 MontereyとmacOS 13 Ventura向けにWebRTCの脆弱性を修正した「Safari v17.4.1」をリリース。,"Apple, macOS 12 MontereytomacOS 13 VenturaXiang keniWebRTCnoCui Ruo Xing woXiu Zheng shita[Safari v17.4.1] woriri-su."
23,26/03/2024,09:31:00,Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL),Soft Landing Still The Narrative & Stock Of The Week: Apple (AAPL)
24,27/03/2024,09:31:00,Apple (AAPL) Registers a Bigger Fall Than the Market: Important Facts to Note,Apple (AAPL) Registers a Bigger Fall Than the Market: Important Facts to Note
25,27/03/2024,11:27:22,DOJ compares AAPL share buybacks with R&D spend as ‘evidence’ of lack of competition,DOJ compares AAPL share buybacks with R&D spend as 'evidence' of lack of competition
26,29/02/2024,09:31:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what’s to come.,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
27,29/02/2024,09:31:00,Apple shareholders reject AI-disclosure proposal,Apple shareholders reject AI-disclosure proposal
