,Date,Time,Headline,Cleaned_Headline
0,2024-02-26,11:24:05,"Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500","Horizon Kinetics: Chinese Tech Has Boosted Apple (AAPL), the Second Highest-Weighted Company in the S&P 500"
1,2024-02-26,11:34:00,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued,This investor has a huge bet on Berkshire Hathaway and says Apple is overvalued
2,2024-02-27,13:18:22,Major Shareholders Planning to Force Apple to Reveal Use of AI,Major Shareholders Planning to Force Apple to Reveal Use of AI
3,2024-02-28,09:31:00,Apple、開発者向けに「macOS 14.4 Sonoma Beta 5」や「iOS/iPadOS 17.4 RC」、「visionOS 1.1 Beta 4」などを公開。「iOS 16.7.6」や「iOS 15.8.2」もRCに。,"Apple, Kai Fa Zhe Xiang keni[macOS 14.4 Sonoma Beta 5] ya[iOS/iPadOS 17.4 RC] , [visionOS 1.1 Beta 4] nadowoGong Kai . [iOS 16.7.6] ya[iOS 15.8.2] moRCni."
4,2024-02-28,09:31:00,Apple reportedly ends its longtime plans to build a self-driving EV,Apple reportedly ends its longtime plans to build a self-driving EV
5,2024-02-28,10:56:10,Apple Stock Could Notch New Record High,Apple Stock Could Notch New Record High
6,2024-02-28,12:54:18,AAPL investors don’t care that the Apple Car is cancelled,AAPL investors don't care that the Apple Car is cancelled
7,2024-02-29,09:31:00,Will Apple create a better AI? Questions abound as Tim Cook hints at what’s to come.,Will Apple create a better AI? Questions abound as Tim Cook hints at what's to come.
8,2024-02-29,09:31:00,Apple shareholders reject AI-disclosure proposal,Apple shareholders reject AI-disclosure proposal
9,2024-03-02,09:31:00,Microsoft hasn’t been worth this much more than Apple since 2003,Microsoft hasn't been worth this much more than Apple since 2003
10,2024-03-02,12:54:07,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should,Will Apple Acquire Rivian? 1 Wall Street Analyst Thinks it Should
