,Date,Time,Headline,Cleaned_Headline
0,01/04/2024,14:50:31,"Apple Sales, Earnings Seen Declining In 2024 Amid iPhone Slowdown","Apple Sales, Earnings Seen Declining In 2024 Amid iPhone Slowdown"
1,01/04/2024,15:55:19,Loop Capital cuts AAPL price target to $170 over weak iPhone demand,Loop Capital cuts AAPL price target to $170 over weak iPhone demand
2,02/04/2024,12:32:15,Should Investors Buy Apple (AAPL) in April?,Should Investors Buy Apple (AAPL) in April?
3,03/04/2024,09:31:00,Apple、開発者向けに「macOS 14.5 Sonoma」や「iOS/iPadOS 17.5」、「visionOS 1.2」のBeta 1を公開。,"Apple, Kai Fa Zhe Xiang keni[macOS 14.5 Sonoma] ya[iOS/iPadOS 17.5] , [visionOS 1.2] noBeta 1woGong Kai ."
4,03/04/2024,09:31:00,Apple shareholders look for positive signs after worst quarter relative to S&P since 2013,Apple shareholders look for positive signs after worst quarter relative to S&P since 2013
5,04/04/2024,09:31:00,"Senior Vice President Deirdre O'Brien Sells 54,732 Shares of Apple Inc (AAPL)","Senior Vice President Deirdre O'Brien Sells 54,732 Shares of Apple Inc (AAPL)"
6,04/04/2024,09:31:00,"Apple Inc (AAPL) CEO Timothy Cook Sells 196,410 Shares","Apple Inc (AAPL) CEO Timothy Cook Sells 196,410 Shares"
7,04/04/2024,11:44:53,Not UK Or Japan: India To Emerge As Apple's Third-Largest iPhone Market In Just 2 Years,Not UK Or Japan: India To Emerge As Apple's Third-Largest iPhone Market In Just 2 Years
8,05/04/2024,09:31:00,"Apple CEO Cook sells 196,410 AAPL shares at $169.33","Apple CEO Cook sells 196,410 AAPL shares at $169.33"
9,05/04/2024,09:31:00,Apple to Report Earnings on May 2 Following Vision Pro Launch,Apple to Report Earnings on May 2 Following Vision Pro Launch
10,05/04/2024,13:40:12,Report: Apple's already eyeing its next big thing,Report: Apple's already eyeing its next big thing
11,05/04/2024,13:59:13,Apple: Antitrust Case Could Prove Positive For Investors,Apple: Antitrust Case Could Prove Positive For Investors
12,06/04/2024,09:31:00,"Tim Cook offloads nearly 200,000 shares of AAPL stock worth $32 million","Tim Cook offloads nearly 200,000 shares of AAPL stock worth $32 million"
13,10/04/2024,09:31:00,Wedbush maintains ‘outperform’ rating on Apple stock with a $250 price target,Wedbush maintains 'outperform' rating on Apple stock with a $250 price target
14,10/04/2024,09:31:00,"Bargain Alert: Apple Shares Are Starting To Look Undervalued - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AM","Bargain Alert: Apple Shares Are Starting To Look Undervalued - Apple (NASDAQ:AAPL), Amazon.com (NASDAQ:AM"
15,10/04/2024,10:56:06,Apple Can’t Recover,Apple Can't Recover
16,11/04/2024,09:31:00,Apple M1/M3チップ搭載のiMacやStudio Displayのスタンドに引っ掛けてスペースを有効活用できるUSBハブ「PULWTOP 6-in-1 USB-C Hub for iMac」が発売。,Apple M1/M3chitsupuDa Zai noiMacyaStudio DisplaynosutandoniYin tsuGua ketesupe-suwoYou Xiao Huo Yong dekiruUSBhabu[PULWTOP 6-in-1 USB-C Hub for iMac] gaFa Mai .
17,11/04/2024,10:57:23,"Judge in Apple antitrust case steps down, due to apparent conflict of interest","Judge in Apple antitrust case steps down, due to apparent conflict of interest"
18,12/04/2024,09:31:00,Apple’s Services business is a bright spot in the company’s rough 2024: BofA,Apple's Services business is a bright spot in the company's rough 2024: BofA
